Rk_stats_standard,Player,Nation_stats_standard,Pos_stats_standard,Squad_stats_standard,Age_stats_standard,Born_stats_standard,MP_stats_standard,Starts_stats_standard,Min_stats_standard,90s_stats_standard,Gls_stats_standard,Ast_stats_standard,G+A_stats_standard,G-PK_stats_standard,PK_stats_standard,PKatt_stats_standard,CrdY_stats_standard,CrdR_stats_standard,xG_stats_standard,npxG_stats_standard,xAG_stats_standard,npxG+xAG_stats_standard,PrgC_stats_standard,PrgP_stats_standard,PrgR_stats_standard,Gls_stats_standard,Ast_stats_standard,G+A_stats_standard,G-PK_stats_standard,G+A-PK_stats_standard,xG_stats_standard,xAG_stats_standard,xG+xAG_stats_standard,npxG_stats_standard,npxG+xAG_stats_standard,Matches_stats_standard,FirstName
182,Mark Flekken,nl NED,GK,Brentford,31-329,1993,34,34,3005.0,33.4,0,2,2,0,0,0,1,0,0.0,0.0,0.5,0.5,0,0,0,0.00,0.06,0.06,0.00,0.06,0.00,0.02,0.02,0.00,0.02,Matches,Mark
515,Mark Travers,ie IRL,GK,Bournemouth,25-355,1999,5,5,450.0,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Mark
363,Marshall Munetsi,zw ZIM,"MF,FW",Wolves,28-320,1996,11,10,878.0,9.8,1,1,2,1,0,0,0,0,3.0,3.0,1.5,4.5,7,8,26,0.10,0.10,0.21,0.10,0.21,0.31,0.15,0.46,0.31,0.46,Matches,Marshall
568,Martin Ødegaard,no NOR,MF,Arsenal,26-142,1998,27,24,2130.0,23.7,2,7,9,1,1,1,4,0,4.6,3.8,5.0,8.8,82,240,144,0.08,0.30,0.38,0.04,0.34,0.19,0.21,0.41,0.16,0.37,Matches,Martin
151,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-113,1989,10,10,900.0,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Martin
360,Mason Mount,eng ENG,"MF,FW",Manchester Utd,26-118,1999,14,5,430.0,4.8,1,0,1,1,0,0,3,0,2.3,2.3,0.2,2.5,11,21,23,0.21,0.00,0.21,0.21,0.21,0.48,0.04,0.52,0.48,0.52,Matches,Mason
312,Massimo Luongo,au AUS,MF,Ipswich Town,32-225,1992,9,2,196.0,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Massimo
288,Mateo Kovačić,hr CRO,MF,Manchester City,31-002,1994,29,23,2049.0,22.8,6,1,7,6,0,0,5,0,1.7,1.7,3.6,5.3,52,149,15,0.26,0.04,0.31,0.26,0.31,0.08,0.16,0.23,0.08,0.23,Matches,Mateo
180,Mateus Fernandes,pt POR,MF,Southampton,20-302,2004,33,31,2640.0,29.3,2,3,5,2,0,0,8,0,3.8,3.8,2.6,6.4,73,131,102,0.07,0.10,0.17,0.07,0.17,0.13,0.09,0.22,0.13,0.22,Matches,Mateus
380,Matheus Nunes,pt POR,"DF,MF",Manchester City,26-254,1998,24,17,1494.0,16.6,1,5,6,1,0,0,4,0,0.9,0.9,4.2,5.1,59,69,156,0.06,0.30,0.36,0.06,0.36,0.05,0.25,0.31,0.05,0.31,Matches,Matheus
115,Matheus Cunha,br BRA,"MF,FW",Wolves,25-346,1999,30,27,2425.0,26.9,15,6,21,15,0,0,3,0,7.9,7.9,7.3,15.2,104,131,147,0.56,0.22,0.78,0.56,0.78,0.29,0.27,0.57,0.29,0.57,Matches,Matheus
257,Mathias Jensen,dk DEN,MF,Brentford,29-127,1996,21,8,816.0,9.1,0,2,2,0,0,0,2,0,0.2,0.2,1.6,1.8,6,56,26,0.00,0.22,0.22,0.00,0.22,0.03,0.18,0.20,0.03,0.20,Matches,Mathias
500,Mathys Tel,fr FRA,FW,Tottenham,20-011,2005,10,8,649.0,7.2,2,1,3,1,1,1,1,0,2.3,1.5,1.4,2.9,18,16,57,0.28,0.14,0.42,0.14,0.28,0.32,0.19,0.51,0.21,0.40,Matches,Mathys
549,Mats Wieffer,nl NED,"MF,DF",Brighton,25-173,1999,22,7,745.0,8.3,1,3,4,1,0,0,5,0,0.7,0.7,1.5,2.2,13,52,18,0.12,0.36,0.48,0.12,0.48,0.09,0.18,0.27,0.09,0.27,Matches,Mats
385,Matt O'Riley,dk DEN,MF,Brighton,24-168,2000,18,10,847.0,9.4,1,1,2,1,0,0,1,0,2.0,2.0,1.7,3.6,19,34,47,0.11,0.11,0.21,0.11,0.21,0.21,0.18,0.39,0.21,0.39,Matches,Matt
141,Matt Doherty,ie IRL,DF,Wolves,33-112,1992,28,23,1965.0,21.8,2,1,3,2,0,0,6,0,1.0,1.0,1.5,2.5,29,76,40,0.09,0.05,0.14,0.09,0.14,0.05,0.07,0.12,0.05,0.12,Matches,Matt
304,Matthijs de Ligt,nl NED,DF,Manchester Utd,25-269,1999,29,25,2123.0,23.6,2,0,2,2,0,0,3,0,2.5,2.5,0.3,2.8,7,55,6,0.08,0.00,0.08,0.08,0.08,0.10,0.01,0.12,0.10,0.12,Matches,Matthijs
88,Matty Cash,pl POL,DF,Aston Villa,27-274,1997,24,21,1800.0,20.0,1,1,2,1,0,0,6,0,0.3,0.3,1.1,1.4,46,39,75,0.05,0.05,0.10,0.05,0.10,0.02,0.05,0.07,0.02,0.07,Matches,Matty
459,Matz Sels,be BEL,GK,Nott'ham Forest,33-071,1992,35,35,3150.0,35.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Matz
281,Max Kilman,eng ENG,DF,West Ham,27-350,1997,35,35,3078.0,34.2,0,1,1,0,0,0,4,0,1.4,1.4,1.2,2.6,29,107,6,0.00,0.03,0.03,0.00,0.03,0.04,0.03,0.08,0.04,0.08,Matches,Max
293,Maxence Lacroix,fr FRA,DF,Crystal Palace,25-032,2000,32,32,2846.0,31.6,1,1,2,1,0,0,5,0,3.1,3.1,0.8,3.9,8,61,7,0.03,0.03,0.06,0.03,0.06,0.10,0.02,0.12,0.10,0.12,Matches,Maxence
274,Michael Kayode,it ITA,DF,Brentford,20-302,2004,9,3,291.0,3.2,0,1,1,0,0,0,1,0,0.1,0.1,1.0,1.1,8,5,16,0.00,0.31,0.31,0.00,0.31,0.02,0.30,0.33,0.02,0.33,Matches,Michael
275,Michael Keane,eng ENG,DF,Everton,32-117,1993,11,9,852.0,9.5,2,0,2,2,0,0,5,0,0.4,0.4,0.1,0.5,1,12,3,0.21,0.00,0.21,0.21,0.21,0.05,0.01,0.06,0.05,0.06,Matches,Michael
27,Michail Antonio,jm JAM,FW,West Ham,35-041,1990,14,11,836.0,9.3,1,1,2,1,0,0,1,0,2.2,2.2,1.6,3.8,29,18,59,0.11,0.11,0.22,0.11,0.22,0.24,0.17,0.41,0.24,0.41,Matches,Michail
529,Micky van de Ven,nl NED,DF,Tottenham,24-019,2001,12,11,950.0,10.6,0,2,2,0,0,0,4,0,0.6,0.6,1.2,1.7,8,51,1,0.00,0.19,0.19,0.00,0.19,0.05,0.11,0.16,0.05,0.16,Matches,Micky
17,Miguel Almirón,py PAR,FW,Newcastle Utd,31-087,1994,9,1,157.0,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,3,6,18,0.00,0.00,0.00,0.00,0.00,0.30,0.15,0.45,0.30,0.45,Matches,Miguel
344,Mikel Merino,es ESP,"MF,FW",Arsenal,28-320,1996,26,15,1418.0,15.8,6,2,8,6,0,0,2,0,4.4,4.4,1.9,6.3,9,62,88,0.38,0.13,0.51,0.38,0.51,0.28,0.12,0.40,0.28,0.40,Matches,Mikel
355,Mikey Moore,eng ENG,FW,Tottenham,17-270,2007,8,2,208.0,2.3,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,9,7,31,0.00,0.43,0.43,0.00,0.43,0.09,0.15,0.23,0.09,0.23,Matches,Mikey
118,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-309,2000,35,31,2658.0,29.5,2,10,12,2,0,0,2,0,2.6,2.6,7.8,10.4,64,213,121,0.07,0.34,0.41,0.07,0.41,0.09,0.26,0.35,0.09,0.35,Matches,Mikkel
278,Milos Kerkez,hu HUN,DF,Bournemouth,21-182,2003,35,35,3077.0,34.2,2,5,7,2,0,0,4,0,0.5,0.5,3.7,4.2,96,144,169,0.06,0.15,0.20,0.06,0.20,0.02,0.11,0.12,0.01,0.12,Matches,Milos
444,Mohamed Salah,eg EGY,FW,Liverpool,32-327,1992,35,35,3101.0,34.5,28,18,46,19,9,9,1,0,24.0,17.0,13.2,30.1,143,133,440,0.81,0.52,1.34,0.55,1.07,0.70,0.38,1.08,0.49,0.87,Matches,Mohamed
291,Mohammed Kudus,gh GHA,"FW,MF",West Ham,24-279,2000,29,29,2421.0,26.9,4,2,6,4,0,0,2,1,6.6,6.6,2.5,9.0,93,76,201,0.15,0.07,0.22,0.15,0.22,0.24,0.09,0.34,0.24,0.34,Matches,Mohammed
79,Moisés Caicedo,ec ECU,"MF,DF",Chelsea,23-187,2001,35,35,3081.0,34.2,1,2,3,1,0,0,10,0,0.8,0.8,3.0,3.7,38,197,33,0.03,0.06,0.09,0.03,0.09,0.02,0.09,0.11,0.02,0.11,Matches,Moisés
356,Morato,br BRA,DF,Nott'ham Forest,23-312,2001,24,5,809.0,9.0,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,0,14,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,Morato
197,Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,25-101,2000,31,31,2541.0,28.2,5,7,12,5,0,0,11,1,4.7,4.7,4.5,9.3,64,153,118,0.18,0.25,0.43,0.18,0.43,0.17,0.16,0.33,0.17,0.33,Matches,Morgan
439,Morgan Rogers,eng ENG,"FW,MF",Aston Villa,22-286,2002,34,34,2853.0,31.7,8,8,16,8,0,0,9,0,6.2,6.2,7.4,13.6,108,117,177,0.25,0.25,0.50,0.25,0.50,0.20,0.23,0.43,0.20,0.43,Matches,Morgan
367,Murillo,br BRA,DF,Nott'ham Forest,22-308,2002,34,34,3008.0,33.4,2,0,2,2,0,0,5,0,1.4,1.4,1.1,2.5,20,103,5,0.06,0.00,0.06,0.06,0.06,0.04,0.03,0.07,0.04,0.07,Matches,Murillo
362,Mykhailo Mudryk,ua UKR,FW,Chelsea,24-123,2001,7,1,151.0,1.7,0,0,0,0,0,0,0,0,0.3,0.3,1.0,1.2,7,5,12,0.00,0.00,0.00,0.00,0.00,0.15,0.58,0.73,0.15,0.73,Matches,Mykhailo
303,Myles Lewis-Skelly,eng ENG,DF,Arsenal,18-224,2006,20,13,1168.0,13.0,1,0,1,1,0,0,2,2,0.1,0.1,0.4,0.5,32,62,33,0.08,0.00,0.08,0.08,0.08,0.01,0.03,0.04,0.01,0.04,Matches,Myles
406,Nathan Patterson,sct SCO,DF,Everton,23-204,2001,10,3,347.0,3.9,0,1,1,0,0,0,1,0,0.1,0.1,0.4,0.5,6,13,18,0.00,0.26,0.26,0.00,0.26,0.02,0.11,0.13,0.02,0.13,Matches,Nathan
69,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,27-033,1998,16,6,605.0,6.7,1,0,1,1,0,0,1,0,1.5,1.5,0.6,2.1,17,12,27,0.15,0.00,0.15,0.15,0.15,0.22,0.10,0.32,0.22,0.32,Matches,Nathan
559,Nathan Wood-Gordon,eng ENG,DF,Southampton,22-342,2002,9,7,624.0,6.9,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,2,17,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.04,0.03,0.04,Matches,Nathan
105,Nathan Collins,ie IRL,DF,Brentford,24-008,2001,35,35,3150.0,35.0,2,3,5,2,0,0,5,0,2.5,2.5,1.8,4.3,28,117,18,0.06,0.09,0.14,0.06,0.14,0.07,0.05,0.12,0.07,0.12,Matches,Nathan
12,Nathan Aké,nl NED,DF,Manchester City,30-079,1995,10,8,678.0,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,12,50,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,Nathan
102,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,34-033,1991,13,5,483.0,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,6,7,8,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches,Nathaniel
550,Neco Williams,wls WAL,DF,Nott'ham Forest,24-025,2001,32,25,2324.0,25.8,1,3,4,1,0,0,7,0,2.3,2.3,1.5,3.8,60,82,86,0.04,0.12,0.15,0.04,0.15,0.09,0.06,0.15,0.09,0.15,Matches,Neco
375,Neto,br BRA,GK,Bournemouth,35-293,1989,2,2,180.0,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Neto
416,Nick Pope,eng ENG,GK,Newcastle Utd,33-019,1992,25,25,2250.0,25.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Nick
190,Niclas Füllkrug,de GER,FW,West Ham,32-088,1993,15,5,668.0,7.4,3,2,5,3,0,0,2,0,2.0,2.0,1.9,3.9,6,11,25,0.40,0.27,0.67,0.40,0.67,0.27,0.25,0.52,0.27,0.52,Matches,Niclas
400,Nico O’Reilly,eng ENG,DF,Manchester City,20-048,2005,8,6,513.0,5.7,2,0,2,2,0,0,0,0,1.3,1.3,0.4,1.6,16,17,25,0.35,0.00,0.35,0.35,0.35,0.23,0.06,0.29,0.23,0.29,Matches,Nico
252,Nicolas Jackson,sn SEN,FW,Chelsea,23-322,2001,29,27,2185.0,24.3,10,5,15,10,0,0,7,0,12.3,12.3,4.3,16.6,46,37,127,0.41,0.21,0.62,0.41,0.62,0.51,0.18,0.68,0.51,0.68,Matches,Nicolas
207,Nicolás González,es ESP,MF,Manchester City,23-125,2002,9,8,648.0,7.2,0,0,0,0,0,0,3,0,0.3,0.3,0.1,0.3,5,46,10,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches,Nicolás
143,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-314,1998,31,20,1734.0,19.3,0,1,1,0,0,0,9,0,1.4,1.4,1.3,2.7,13,68,27,0.00,0.05,0.05,0.00,0.05,0.07,0.07,0.14,0.07,0.14,Matches,Nicolás
346,Nikola Milenković,rs SRB,DF,Nott'ham Forest,27-208,1997,34,34,3060.0,34.0,4,2,6,4,0,0,4,0,3.6,3.6,1.0,4.6,3,49,6,0.12,0.06,0.18,0.12,0.18,0.10,0.03,0.13,0.10,0.13,Matches,Nikola
316,Noni Madueke,eng ENG,FW,Chelsea,23-059,2002,29,24,1813.0,20.1,7,3,10,7,0,0,3,0,9.1,9.1,4.0,13.1,142,66,212,0.35,0.15,0.50,0.35,0.50,0.45,0.20,0.65,0.45,0.65,Matches,Noni
334,Noussair Mazraoui,ma MAR,DF,Manchester Utd,27-175,1997,34,31,2639.0,29.3,0,1,1,0,0,0,2,0,0.7,0.7,1.3,2.0,37,102,51,0.00,0.03,0.03,0.00,0.03,0.02,0.05,0.07,0.02,0.07,Matches,Noussair
460,Nélson Semedo,pt POR,DF,Wolves,31-173,1993,31,30,2661.0,29.6,0,4,4,0,0,0,7,0,0.8,0.8,2.7,3.5,61,70,109,0.00,0.14,0.14,0.00,0.14,0.03,0.09,0.12,0.03,0.12,Matches,Nélson
156,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,27-112,1998,2,1,115.0,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,2,4,7,0.00,0.00,0.00,0.00,0.00,0.31,0.04,0.34,0.31,0.34,Matches,Odsonne
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-212,1996,32,32,2733.0,30.4,2,1,3,2,0,0,3,0,0.6,0.6,1.1,1.8,59,97,56,0.07,0.03,0.10,0.07,0.10,0.02,0.04,0.06,0.02,0.06,Matches,Ola
566,Oleksandr Zinchenko,ua UKR,"DF,MF",Arsenal,28-144,1996,13,4,455.0,5.1,0,1,1,0,0,0,1,0,0.3,0.3,0.1,0.4,10,37,12,0.00,0.20,0.20,0.00,0.20,0.05,0.03,0.08,0.05,0.08,Matches,Oleksandr
453,Oliver Scarles,eng ENG,DF,West Ham,19-147,2005,14,6,594.0,6.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,11,21,39,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,Oliver
471,Oliver Skipp,eng ENG,MF,Leicester City,24-234,2000,21,8,996.0,11.1,0,0,0,0,0,0,8,0,0.2,0.2,0.3,0.4,16,31,19,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04,Matches,Oliver
542,Ollie Watkins,eng ENG,FW,Aston Villa,29-129,1995,35,28,2333.0,25.9,15,7,22,13,2,2,2,0,14.7,13.2,3.0,16.2,52,29,148,0.58,0.27,0.85,0.50,0.77,0.57,0.12,0.69,0.51,0.62,Matches,Ollie
326,Omar Marmoush,eg EGY,"FW,MF",Manchester City,26-090,1999,13,12,998.0,11.1,6,0,6,6,0,0,0,0,4.8,4.8,1.7,6.5,21,29,68,0.54,0.00,0.54,0.54,0.54,0.43,0.15,0.59,0.43,0.59,Matches,Omar
244,Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-190,2003,28,27,2313.0,25.7,3,2,5,3,0,0,5,0,2.4,2.4,2.7,5.1,74,71,135,0.12,0.08,0.19,0.12,0.19,0.09,0.11,0.20,0.09,0.20,Matches,Omari
323,Orel Mangala,be BEL,MF,Everton,27-051,1998,19,14,1261.0,14.0,1,0,1,1,0,0,2,0,1.1,1.1,0.6,1.8,6,34,19,0.07,0.00,0.07,0.07,0.07,0.08,0.05,0.13,0.08,0.13,Matches,Orel
449,Pablo Sarabia,es ESP,"MF,FW",Wolves,32-362,1992,21,6,716.0,8.0,3,2,5,3,0,0,3,0,2.9,2.9,1.6,4.5,12,51,52,0.38,0.25,0.63,0.38,0.63,0.36,0.20,0.56,0.36,0.56,Matches,Pablo
330,Pape Matar Sarr,sn SEN,MF,Tottenham,22-236,2002,33,19,1726.0,19.2,3,2,5,3,0,0,6,0,3.3,3.3,1.6,4.9,32,85,50,0.16,0.10,0.26,0.16,0.26,0.17,0.08,0.26,0.17,0.26,Matches,Pape
144,Patrick Dorgu,dk DEN,DF,Manchester Utd,20-194,2004,9,8,630.0,7.0,0,0,0,0,0,0,3,1,0.4,0.4,0.4,0.8,27,23,54,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.12,0.05,0.12,Matches,Patrick
116,Patson Daka,zm ZAM,"FW,MF",Leicester City,26-211,1998,21,5,653.0,7.3,1,0,1,1,0,0,0,0,1.3,1.3,0.1,1.3,10,8,34,0.14,0.00,0.14,0.14,0.14,0.17,0.01,0.18,0.17,0.18,Matches,Patson
511,Pau Torres,es ESP,DF,Aston Villa,28-112,1997,21,21,1819.0,20.2,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.6,33,77,4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,Pau
394,Paul Onuachu,ng NGA,FW,Southampton,30-345,1994,24,11,1029.0,11.4,4,1,5,4,0,0,4,0,3.6,3.6,0.5,4.1,7,13,40,0.35,0.09,0.44,0.35,0.44,0.32,0.04,0.36,0.32,0.36,Matches,Paul
417,Pedro Porro,es ESP,DF,Tottenham,25-237,1999,31,26,2463.0,27.4,2,6,8,2,0,0,4,0,1.5,1.5,4.0,5.5,63,147,106,0.07,0.22,0.29,0.07,0.29,0.06,0.15,0.20,0.06,0.20,Matches,Pedro
376,Pedro Neto,pt POR,FW,Chelsea,25-060,2000,32,21,2013.0,22.4,4,5,9,4,0,0,8,0,2.9,2.9,6.1,9.0,118,57,229,0.18,0.22,0.40,0.18,0.40,0.13,0.27,0.40,0.13,0.40,Matches,Pedro
168,Pervis Estupiñán,ec ECU,DF,Brighton,27-107,1998,28,24,2222.0,24.7,1,1,2,1,0,0,5,0,1.1,1.1,2.1,3.1,55,116,107,0.04,0.04,0.08,0.04,0.08,0.04,0.08,0.13,0.04,0.13,Matches,Pervis
183,Phil Foden,eng ENG,"MF,FW",Manchester City,24-345,2000,26,19,1693.0,18.8,7,2,9,7,0,0,2,0,5.1,5.1,4.7,9.8,47,95,119,0.37,0.11,0.48,0.37,0.48,0.27,0.25,0.52,0.27,0.52,Matches,Phil
58,Philip Billing,dk DEN,MF,Bournemouth,28-331,1996,10,1,184.0,2.0,0,0,0,0,0,0,1,0,0.6,0.6,1.1,1.7,3,15,13,0.00,0.00,0.00,0.00,0.00,0.28,0.54,0.82,0.28,0.82,Matches,Philip
150,Radu Drăgușin,ro ROU,DF,Tottenham,23-094,2002,16,14,1252.0,13.9,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,7,37,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches,Radu
485,Raheem Sterling,eng ENG,"FW,MF",Arsenal,30-151,1994,16,6,437.0,4.9,0,2,2,0,0,0,1,0,1.3,1.3,0.5,1.8,25,17,73,0.00,0.41,0.41,0.00,0.41,0.27,0.10,0.37,0.27,0.37,Matches,Raheem
478,Ramón Sosa,py PAR,"FW,MF",Nott'ham Forest,25-250,1999,19,1,295.0,3.3,1,0,1,1,0,0,1,0,1.0,1.0,0.5,1.5,12,6,17,0.31,0.00,0.31,0.31,0.31,0.31,0.15,0.45,0.31,0.45,Matches,Ramón
245,Rasmus Højlund,dk DEN,FW,Manchester Utd,22-093,2003,29,20,1744.0,19.4,4,0,4,4,0,0,2,0,3.8,3.8,1.3,5.1,26,16,83,0.21,0.00,0.21,0.21,0.21,0.20,0.06,0.26,0.20,0.26,Matches,Rasmus
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23-336,2001,34,34,2865.0,31.8,4,7,11,4,0,0,7,1,2.6,2.6,4.7,7.3,79,100,158,0.13,0.22,0.35,0.13,0.35,0.08,0.15,0.23,0.08,0.23,Matches,Rayan
259,Raúl Jiménez,mx MEX,FW,Fulham,34-003,1991,35,27,2224.0,24.7,10,3,13,7,3,3,4,0,11.2,8.8,3.2,12.0,32,56,119,0.40,0.12,0.53,0.28,0.40,0.45,0.13,0.58,0.36,0.48,Matches,Raúl
253,Reece James,eng ENG,"DF,MF",Chelsea,25-151,1999,16,10,838.0,9.3,1,0,1,1,0,0,1,0,0.3,0.3,0.5,0.8,6,51,10,0.11,0.00,0.11,0.11,0.11,0.03,0.06,0.09,0.03,0.09,Matches,Reece
374,Reiss Nelson,eng ENG,FW,Fulham,25-149,1999,11,5,487.0,5.4,1,1,2,1,0,0,1,0,1.1,1.1,1.0,2.1,45,35,63,0.18,0.18,0.37,0.18,0.37,0.20,0.18,0.39,0.20,0.39,Matches,Reiss
527,Renato Veiga,pt POR,"DF,MF",Chelsea,21-283,2003,7,1,181.0,2.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,7,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,Renato
408,Ricardo Pereira,pt POR,DF,Leicester City,31-214,1993,8,4,342.0,3.8,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,14,5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,Ricardo
82,Riccardo Calafiori,it ITA,DF,Arsenal,22-354,2002,17,11,925.0,10.3,2,1,3,2,0,0,4,0,0.9,0.9,0.3,1.1,21,54,29,0.19,0.10,0.29,0.19,0.29,0.08,0.03,0.11,0.08,0.11,Matches,Riccardo
432,Richarlison,br BRA,FW,Tottenham,27-363,1997,13,4,475.0,5.3,4,1,5,4,0,0,2,0,3.7,3.7,0.9,4.6,8,11,22,0.76,0.19,0.95,0.76,0.95,0.70,0.17,0.87,0.70,0.87,Matches,Richarlison
301,Rico Lewis,eng ENG,"DF,MF",Manchester City,20-168,2004,27,20,1818.0,20.2,1,2,3,1,0,0,5,1,1.4,1.4,0.3,1.7,36,104,68,0.05,0.10,0.15,0.05,0.15,0.07,0.02,0.08,0.07,0.08,Matches,Rico
446,Robert Sánchez,es ESP,GK,Chelsea,27-171,1997,29,29,2610.0,29.0,0,0,0,0,0,0,5,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Robert
391,Robin Olsen,se SWE,GK,Aston Villa,35-120,1990,3,1,180.0,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Robin
203,Rodrigo Gomes,pt POR,"DF,FW",Wolves,21-305,2003,22,6,672.0,7.5,2,0,2,2,0,0,0,0,0.6,0.6,0.9,1.5,22,25,65,0.27,0.00,0.27,0.27,0.27,0.08,0.12,0.20,0.08,0.20,Matches,Rodrigo
364,Rodrigo Muniz,br BRA,FW,Fulham,24-004,2001,31,8,964.0,10.7,8,1,9,8,0,0,1,0,5.8,5.8,0.7,6.5,6,27,31,0.75,0.09,0.84,0.75,0.84,0.54,0.07,0.61,0.54,0.61,Matches,Rodrigo
52,Rodrigo Bentancur,uy URU,MF,Tottenham,27-317,1997,23,19,1518.0,16.9,2,0,2,2,0,0,7,0,1.3,1.3,0.4,1.7,26,99,34,0.12,0.00,0.12,0.12,0.12,0.08,0.03,0.10,0.08,0.10,Matches,Rodrigo
297,Roméo Lavia,be BEL,MF,Chelsea,21-122,2004,13,10,684.0,7.6,0,1,1,0,0,0,4,0,0.2,0.2,0.7,0.9,3,24,7,0.00,0.13,0.13,0.00,0.13,0.02,0.10,0.12,0.02,0.12,Matches,Roméo
486,Ross Stewart,sct SCO,FW,Southampton,28-301,1996,9,3,286.0,3.2,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,1,1,6,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches,Ross
45,Ross Barkley,eng ENG,MF,Aston Villa,31-154,1993,18,3,571.0,6.3,3,1,4,3,0,0,3,0,1.7,1.7,0.6,2.3,15,33,10,0.47,0.16,0.63,0.47,0.63,0.27,0.10,0.37,0.27,0.37,Matches,Ross
463,Ryan Sessegnon,eng ENG,"FW,DF",Fulham,24-355,2000,13,6,470.0,5.2,4,2,6,4,0,0,1,0,1.6,1.6,1.0,2.5,14,14,51,0.77,0.38,1.15,0.77,1.15,0.30,0.18,0.49,0.30,0.49,Matches,Ryan
562,Ryan Yates,eng ENG,MF,Nott'ham Forest,27-168,1997,32,18,1874.0,20.8,2,1,3,2,0,0,10,0,2.3,2.3,1.1,3.4,17,48,14,0.10,0.05,0.14,0.10,0.14,0.11,0.05,0.16,0.11,0.16,Matches,Ryan
99,Ryan Christie,sct SCO,MF,Bournemouth,30-075,1995,29,27,2117.0,23.5,2,3,5,2,0,0,9,0,1.8,1.8,3.5,5.4,34,137,44,0.09,0.13,0.21,0.09,0.21,0.08,0.15,0.23,0.08,0.23,Matches,Ryan
