Rk_stats_standard,Player,Nation_stats_standard,Pos_stats_standard,Squad_stats_standard,Age_stats_standard,Born_stats_standard,MP_stats_standard,Starts_stats_standard,Min_stats_standard,90s_stats_standard,Gls_stats_standard,Ast_stats_standard,G+A_stats_standard,G-PK_stats_standard,PK_stats_standard,PKatt_stats_standard,CrdY_stats_standard,CrdR_stats_standard,xG_stats_standard,npxG_stats_standard,xAG_stats_standard,npxG+xAG_stats_standard,PrgC_stats_standard,PrgP_stats_standard,PrgR_stats_standard,Gls_stats_standard,Ast_stats_standard,G+A_stats_standard,G-PK_stats_standard,G+A-PK_stats_standard,xG_stats_standard,xAG_stats_standard,xG+xAG_stats_standard,npxG_stats_standard,npxG+xAG_stats_standard,Matches_stats_standard,FirstName
517,Kieran Trippier,eng ENG,DF,Newcastle Utd,34-231,1990,24,14,1281.0,14.2,0,3,3,0,0,0,1,0,0.1,0.1,1.3,1.3,25,111,53,0.00,0.21,0.21,0.00,0.21,0.01,0.09,0.09,0.01,0.09,Matches,Kieran
130,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,26-244,1998,12,2,259.0,2.9,0,1,1,0,0,0,0,0,0.2,0.2,1.1,1.3,5,14,11,0.00,0.35,0.35,0.00,0.35,0.08,0.37,0.45,0.08,0.45,Matches,Kiernan
320,Kobbie Mainoo,eng ENG,MF,Manchester Utd,20-019,2005,22,18,1506.0,16.7,0,0,0,0,0,0,5,0,0.6,0.6,1.6,2.2,21,59,42,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.13,0.03,0.13,Matches,Kobbie
333,Konstantinos Mavropanos,gr GRE,DF,West Ham,27-148,1997,31,20,1947.0,21.6,0,0,0,0,0,0,6,1,1.5,1.5,0.5,2.0,16,60,2,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches,Konstantinos
372,Kosta Nedeljković,rs SRB,DF,Aston Villa,19-143,2005,5,0,126.0,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Kosta
519,Kostas Tsimikas,gr GRE,DF,Liverpool,28-361,1996,17,8,747.0,8.3,0,1,1,0,0,0,2,0,0.4,0.4,2.1,2.5,16,71,42,0.00,0.12,0.12,0.00,0.12,0.05,0.26,0.30,0.05,0.30,Matches,Kostas
10,Kristoffer Ajer,no NOR,DF,Brentford,27-021,1998,22,17,1405.0,15.6,0,0,0,0,0,0,5,0,0.8,0.8,1.2,2.1,27,54,42,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.13,0.05,0.13,Matches,Kristoffer
534,Kyle Walker,eng ENG,DF,Manchester City,34-345,1990,15,9,970.0,10.8,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.6,12,64,11,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches,Kyle
535,Kyle Walker-Peters,eng ENG,DF,Southampton,28-025,1997,33,33,2918.0,32.4,0,2,2,0,0,0,5,0,0.8,0.8,2.8,3.6,114,139,144,0.00,0.06,0.06,0.00,0.06,0.03,0.09,0.11,0.03,0.11,Matches,Kyle
61,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-123,2004,8,5,476.0,5.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.2,12,14,9,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches,Lamare
518,Leandro Trossard,be BEL,FW,Arsenal,30-155,1994,35,26,2354.0,26.2,8,5,13,8,0,0,4,1,6.8,6.8,5.3,12.0,75,95,207,0.31,0.19,0.50,0.31,0.50,0.26,0.20,0.46,0.26,0.46,Matches,Leandro
123,Leif Davis,eng ENG,DF,Ipswich Town,25-116,2000,31,30,2563.0,28.5,1,2,3,1,0,0,5,1,0.9,0.9,4.3,5.2,48,55,117,0.04,0.07,0.11,0.04,0.11,0.03,0.15,0.18,0.03,0.18,Matches,Leif
563,Leny Yoro,fr FRA,DF,Manchester Utd,19-176,2005,20,11,1114.0,12.4,0,0,0,0,0,0,5,0,0.7,0.7,0.1,0.8,19,52,4,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.06,0.06,0.06,Matches,Leny
43,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-272,1997,23,14,1138.0,12.6,1,2,3,1,0,0,3,0,1.7,1.7,1.5,3.3,57,35,121,0.08,0.16,0.24,0.08,0.24,0.14,0.12,0.26,0.14,0.26,Matches,Leon
523,Lesley Ugochukwu,fr FRA,MF,Southampton,21-043,2004,24,16,1525.0,16.9,1,1,2,1,0,0,6,0,0.9,0.9,1.0,1.9,29,49,20,0.06,0.06,0.12,0.06,0.12,0.05,0.06,0.11,0.05,0.11,Matches,Lesley
