Player,Nation,Team,Age,Matches Played,Starts,Minutes,Goals,Goals.1,Goals.2,Goals.3,Assists,Assists.1,Assists.2,Assists.3,Yellow Cards,Red Cards,xG,PrgC,PrgR,SoT%,SoT/90,G/Sh,Dist,Passes Completed,Passes Completed.1,Passes Completed.2,Passes Completed.3,Passes Completed.4,Passes Completed.5,Passes Completed.6,Passes Completed.7,Passes Completed.8,Passes Completed.9,Passes Completed.10,Passes Completed.11,Passes Completed.12,Passes Completed.13,Passes Completed.14,Passes Completed.15,Cmp%,Cmp%.1,Cmp%.2,Cmp%.3,Cmp%.4,Cmp%.5,Cmp%.6,Cmp%.7,Cmp%.8,Cmp%.9,Cmp%.10,Cmp%.11,Cmp%.12,Cmp%.13,Cmp%.14,Cmp%.15,Pass Distance,SCA,SCA90,GCA,GCA90,Tackles,Tackles.1,Tackles.2,Tackles.3,Tackles Won,Challenges,Challenges Lost,Blocks,Shot Blocks,Pass Blocks,Interceptions,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Take-ons Attempted,Take-ons Success%,Tkld%,Carries,Carry Distance,Carry to Pen Area,Carry to 1/3,Miscontrols,Dispossessed,Passes Received,Fouls Committed,Fouled,Offsides,Crosses,Recoveries,Aerials Won,Aerials Lost,Aerial Win%,TransferValue
Rayan Aït-Nouri,dz ALG,Wolves,23-338,34,34,2865.0,4,0.13,4,0.13,7,0.22,7,0.22,7,1,2.6,79,158,23.5,0.25,0.12,14.9,1309,803,399,44,1309,803,399,44,1309,803,399,44,1309,803,399,44,83.9,93.4,86.7,40.7,83.9,93.4,86.7,40.7,83.9,93.4,86.7,40.7,83.9,93.4,86.7,40.7,18002,78,2.45,12,0.38,82,41,82,41,52,67,26,40,6,34,24,1944,86,535,827,605,84,116,48.3,39.7,1006,5513,24,54,43,44,1181,30,39,5,86,133,20,28,41.7,
Raúl Jiménez,mx MEX,Fulham,34-005,35,27,2224.0,10,0.4,10,0.4,3,0.12,3,0.12,4,0,11.2,32,119,32.1,1.09,0.08,14.4,423,246,128,30,423,246,128,30,423,246,128,30,423,246,128,30,71.0,81.2,73.1,61.2,71.0,81.2,73.1,61.2,71.0,81.2,73.1,61.2,71.0,81.2,73.1,61.2,6367,57,2.31,6,0.24,33,7,33,7,23,20,13,19,5,14,10,919,30,107,396,431,154,47,40.4,53.2,509,2276,17,21,64,42,677,37,37,14,22,74,78,90,46.4,
Riccardo Calafiori,it ITA,Arsenal,22-356,17,11,925.0,2,0.19,2,0.19,1,0.1,1,0.1,4,0,0.9,21,29,60.0,0.58,0.20,14.1,449,272,150,19,449,272,150,19,449,272,150,19,449,272,150,19,85.4,91.6,85.7,67.9,85.4,91.6,85.7,67.9,85.4,91.6,85.7,67.9,85.4,91.6,85.7,67.9,6549,13,1.26,2,0.19,26,18,26,18,18,29,11,12,6,6,9,628,30,161,249,222,29,13,69.2,23.1,291,1572,3,12,11,5,377,16,6,3,11,30,22,13,62.9,
Rico Lewis,eng ENG,Manchester City,20-170,27,20,1818.0,1,0.05,1,0.05,2,0.1,2,0.1,5,1,1.4,36,68,20.0,0.1,0.10,15.8,1143,681,420,28,1143,681,420,28,1143,681,420,28,1143,681,420,28,92.0,94.8,94.2,68.3,92.0,94.8,94.2,68.3,92.0,94.8,94.2,68.3,92.0,94.8,94.2,68.3,16487,31,1.54,3,0.15,29,13,29,13,19,21,8,28,7,21,13,1404,51,286,707,427,42,21,42.9,52.4,816,4011,8,38,19,19,1005,11,33,0,3,94,5,13,27.8,
Robert Sánchez,es ESP,Chelsea,27-173,29,29,2610.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0,0.0,0,0,N/a,0.0,N/a,N/a,810,193,430,184,810,193,430,184,810,193,430,184,810,193,430,184,71.7,99.5,96.4,38.5,71.7,99.5,96.4,38.5,71.7,99.5,96.4,38.5,71.7,99.5,96.4,38.5,19431,7,0.24,2,0.07,0,0,0,0,0,1,1,0,0,0,2,1197,883,1186,11,0,0,0,N/a,N/a,805,3986,0,0,0,0,751,2,4,0,0,41,9,0,100.0,
Rodrigo Bentancur,uy URU,Tottenham,27-319,23,19,1518.0,2,0.12,2,0.12,0,0.0,0,0.0,7,0,1.3,26,34,22.7,0.3,0.09,17.4,916,439,407,46,916,439,407,46,916,439,407,46,916,439,407,46,88.1,91.1,92.7,75.4,88.1,91.1,92.7,75.4,88.1,91.1,92.7,75.4,88.1,91.1,92.7,75.4,14862,45,2.67,3,0.18,38,19,38,19,20,39,20,24,8,16,36,1252,70,299,747,215,24,18,44.4,44.4,739,3433,5,23,18,19,826,31,10,1,4,111,35,27,56.5,
Rodrigo Muniz,br BRA,Fulham,24-006,31,8,964.0,8,0.75,8,0.75,1,0.09,1,0.09,1,0,5.8,6,31,48.7,1.77,0.21,12.0,92,46,31,11,92,46,31,11,92,46,31,11,92,46,31,11,64.8,67.6,68.9,84.6,64.8,67.6,68.9,84.6,64.8,67.6,68.9,84.6,64.8,67.6,68.9,84.6,1540,17,1.59,2,0.19,10,4,10,4,5,4,0,9,2,7,5,311,14,27,161,127,55,18,33.3,50.0,157,651,3,4,47,24,237,11,31,3,1,14,67,63,51.5,
Ryan Yates,eng ENG,Nott'ham Forest,27-170,32,18,1874.0,2,0.1,2,0.1,1,0.05,1,0.05,10,0,2.3,17,14,28.1,0.43,0.06,19.3,592,314,212,30,592,314,212,30,592,314,212,30,592,314,212,30,81.7,87.7,85.8,56.6,81.7,87.7,85.8,56.6,81.7,87.7,85.8,56.6,81.7,87.7,85.8,56.6,8715,36,1.73,3,0.14,41,17,41,17,21,37,20,35,9,26,26,1001,77,266,488,257,40,18,50.0,27.8,408,1961,1,18,23,18,526,52,49,6,5,95,44,30,59.5,
Ryan Manning,ie IRL,Southampton,28-330,23,18,1459.0,0,0.0,0,0.0,1,0.06,1,0.06,2,0,0.3,14,74,12.5,0.06,0.00,22.0,619,317,233,55,619,317,233,55,619,317,233,55,619,317,233,55,77.2,92.2,80.9,44.4,77.2,92.2,80.9,44.4,77.2,92.2,80.9,44.4,77.2,92.2,80.9,44.4,10360,50,3.08,3,0.18,28,14,28,14,17,26,12,20,11,9,17,965,70,258,396,321,22,36,30.6,44.4,482,2018,4,13,17,5,572,19,32,0,84,65,15,5,75.0,
Ryan Gravenberch,nl NED,Liverpool,22-359,34,34,2921.0,0,0.0,0,0.0,4,0.12,4,0.12,5,0,1.0,65,54,27.8,0.15,0.00,24.7,1595,873,609,59,1595,873,609,59,1595,873,609,59,1595,873,609,59,88.9,92.5,91.7,60.8,88.9,92.5,91.7,60.8,88.9,92.5,91.7,60.8,88.9,92.5,91.7,60.8,23774,65,2.0,6,0.18,65,30,65,30,34,51,21,34,10,24,57,2176,104,446,1274,485,23,75,48.0,37.3,1286,6750,9,71,48,21,1548,42,46,0,6,182,26,14,65.0,
Ryan Christie,sct SCO,Bournemouth,30-077,29,27,2117.0,2,0.09,2,0.09,3,0.13,3,0.13,9,0,1.8,34,44,36.4,0.51,0.06,19.6,837,368,378,82,837,368,378,82,837,368,378,82,837,368,378,82,79.3,88.2,87.9,48.8,79.3,88.2,87.9,48.8,79.3,88.2,87.9,48.8,79.3,88.2,87.9,48.8,14882,85,3.62,9,0.38,54,27,54,27,33,64,37,44,11,33,30,1376,74,256,773,372,46,48,47.9,45.8,726,3802,8,40,44,25,777,43,31,1,48,182,20,28,41.7,
Rúben Dias,pt POR,Manchester City,27-361,24,22,2001.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0,1.4,35,6,27.8,0.22,0.00,19.2,1943,814,1002,101,1943,814,1002,101,1943,814,1002,101,1943,814,1002,101,93.6,97.0,96.3,66.9,93.6,97.0,96.3,66.9,93.6,97.0,96.3,66.9,93.6,97.0,96.3,66.9,33548,22,0.99,1,0.04,16,7,16,7,10,11,4,17,14,3,18,2230,195,749,1231,255,22,3,66.7,33.3,1592,8957,1,54,7,1,1815,12,8,0,3,68,30,31,49.2,
Sam Morsy,eg EGY,Ipswich Town,33-242,30,28,2486.0,1,0.04,1,0.04,1,0.04,1,0.04,10,0,0.3,16,9,22.2,0.07,0.11,26.3,1103,575,430,70,1103,575,430,70,1103,575,430,70,1103,575,430,70,86.2,93.2,91.3,57.4,86.2,93.2,91.3,57.4,86.2,93.2,91.3,57.4,86.2,93.2,91.3,57.4,17664,40,1.45,2,0.07,62,26,62,26,36,57,31,32,13,19,28,1498,88,447,855,210,4,21,57.1,33.3,761,4103,2,20,15,10,999,45,24,0,12,138,17,23,42.5,
Sammie Szmodics,ie IRL,Ipswich Town,29-228,19,13,979.0,4,0.37,4,0.37,0,0.0,0,0.0,2,0,3.4,16,46,57.1,1.1,0.19,14.0,144,67,54,15,144,67,54,15,144,67,54,15,144,67,54,15,74.2,87.0,84.4,51.7,74.2,87.0,84.4,51.7,74.2,87.0,84.4,51.7,74.2,87.0,84.4,51.7,2402,9,0.83,0,0.0,15,6,15,6,9,23,17,10,2,8,6,309,17,80,119,116,33,12,33.3,50.0,174,989,7,8,24,17,189,9,8,8,13,41,6,11,35.3,
Sander Berge,no NOR,Fulham,27-085,28,24,2091.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0,0.2,27,8,0.0,0.0,0.00,7.6,1017,421,489,91,1017,421,489,91,1017,421,489,91,1017,421,489,91,91.4,91.7,94.6,83.5,91.4,91.7,94.6,83.5,91.4,91.7,94.6,83.5,91.4,91.7,94.6,83.5,18059,41,1.76,2,0.09,48,25,48,25,28,37,12,26,8,18,20,1291,76,354,737,206,13,20,55.0,30.0,754,4080,2,22,12,15,836,29,8,0,3,118,27,20,57.4,
Sandro Tonali,it ITA,Newcastle Utd,25-002,33,25,2360.0,3,0.11,3,0.11,2,0.08,2,0.08,5,0,3.7,33,48,31.3,0.38,0.09,19.6,1136,599,422,76,1136,599,422,76,1136,599,422,76,1136,599,422,76,83.5,89.8,87.0,61.8,83.5,89.8,87.0,61.8,83.5,89.8,87.0,61.8,83.5,89.8,87.0,61.8,17948,61,2.32,8,0.3,47,22,47,22,30,44,22,32,10,22,33,1624,63,372,896,382,41,35,54.3,37.1,877,4784,5,34,27,23,1126,36,44,2,31,163,12,11,52.2,
Santiago Bueno,uy URU,Wolves,26-182,28,18,1683.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0,0.4,1,1,50.0,0.16,0.00,14.0,741,260,417,51,741,260,417,51,741,260,417,51,741,260,417,51,88.0,92.5,93.9,56.0,88.0,92.5,93.9,56.0,88.0,92.5,93.9,56.0,88.0,92.5,93.9,56.0,13598,12,0.64,4,0.21,40,17,40,17,21,22,5,35,20,15,15,1023,169,520,485,21,6,4,0.0,100.0,555,2727,0,2,2,2,660,26,5,0,0,43,35,31,53.0,
Saša Lukić,rs SRB,Fulham,28-270,28,26,2169.0,0,0.0,0,0.0,2,0.08,2,0.08,12,0,1.2,37,29,11.8,0.08,0.00,20.1,1027,486,450,78,1027,486,450,78,1027,486,450,78,1027,486,450,78,87.7,91.9,92.0,70.3,87.7,91.9,92.0,70.3,87.7,91.9,92.0,70.3,87.7,91.9,92.0,70.3,17364,50,2.08,3,0.12,66,21,66,21,37,53,32,19,7,12,26,1394,50,303,797,307,18,17,47.1,29.4,775,4150,4,39,22,8,897,62,26,0,55,107,18,24,42.9,
Sepp van den Berg,nl NED,Brentford,23-141,28,26,2316.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0,1.7,10,27,31.3,0.19,0.00,10.6,958,415,475,60,958,415,475,60,958,415,475,60,958,415,475,60,84.7,87.7,89.1,62.5,84.7,87.7,89.1,62.5,84.7,87.7,89.1,62.5,84.7,87.7,89.1,62.5,16548,21,0.82,2,0.08,37,18,37,18,22,27,9,50,36,14,20,1430,252,728,547,159,42,7,57.1,42.9,636,3240,1,9,14,7,806,20,5,1,7,87,84,66,56.0,
Simon Adingra,ci CIV,Brighton,23-129,26,10,956.0,2,0.19,2,0.19,1,0.09,1,0.09,0,0,2.2,37,119,28.0,0.66,0.08,16.2,255,160,74,15,255,160,74,15,255,160,74,15,255,160,74,15,76.1,87.0,74.0,55.6,76.1,87.0,74.0,55.6,76.1,87.0,74.0,55.6,76.1,87.0,74.0,55.6,3699,39,3.68,7,0.66,23,10,23,10,14,22,12,12,0,12,8,488,8,63,158,272,64,48,43.8,56.3,324,2127,20,17,35,11,341,11,3,2,35,41,6,3,66.7,
Son Heung-min,kr KOR,Tottenham,32-306,28,23,2004.0,7,0.31,7,0.31,9,0.4,9,0.4,1,0,7.0,87,259,45.3,1.08,0.11,17.0,703,437,192,36,703,437,192,36,703,437,192,36,703,437,192,36,79.0,89.7,80.0,48.0,79.0,89.7,80.0,48.0,79.0,89.7,80.0,48.0,79.0,89.7,80.0,48.0,9833,116,5.21,15,0.67,17,5,17,5,9,23,18,10,0,10,5,1093,15,110,347,646,117,82,35.4,48.8,732,4522,40,45,25,29,837,5,28,11,75,81,6,11,35.3,
Stefan Ortega,de GER,Manchester City,32-185,13,12,1100.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0.0,0,0,N/a,0.0,N/a,N/a,373,102,190,79,373,102,190,79,373,102,190,79,373,102,190,79,81.3,97.1,96.9,51.3,81.3,97.1,96.9,51.3,81.3,97.1,96.9,51.3,81.3,97.1,96.9,51.3,8327,0,0.0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,492,383,489,3,0,0,0,N/a,N/a,323,1489,0,0,0,0,309,1,2,0,0,8,2,0,100.0,
Stephy Mavididi,eng ENG,Leicester City,26-344,30,16,1615.0,4,0.22,4,0.22,1,0.06,1,0.06,2,0,1.8,91,138,26.9,0.39,0.15,16.1,460,286,124,18,460,286,124,18,460,286,124,18,460,286,124,18,75.0,91.1,67.4,41.9,75.0,91.1,67.4,41.9,75.0,91.1,67.4,41.9,75.0,91.1,67.4,41.9,6191,50,2.78,7,0.39,34,14,34,14,19,42,28,26,2,24,11,863,23,132,327,421,61,95,36.8,49.5,583,4343,27,40,39,35,623,18,18,3,69,83,9,15,37.5,
Sávio,br BRA,Manchester City,21-030,27,21,1734.0,1,0.05,1,0.05,8,0.42,8,0.42,3,0,4.9,133,239,38.9,1.09,0.02,17.7,676,412,222,31,676,412,222,31,676,412,222,31,676,412,222,31,80.9,89.8,80.1,57.4,80.9,89.8,80.1,57.4,80.9,89.8,80.1,57.4,80.9,89.8,80.1,57.4,10078,107,5.55,15,0.78,22,9,22,9,16,18,9,13,2,11,6,1071,14,55,281,754,149,111,45.9,35.1,766,6326,73,44,42,37,834,17,27,3,81,79,1,2,33.3,
Taylor Harwood-Bellis,eng ENG,Southampton,23-100,32,30,2654.0,1,0.03,1,0.03,0,0.0,0,0.0,9,0,1.8,29,9,40.0,0.27,0.05,10.6,1807,655,974,163,1807,655,974,163,1807,655,974,163,1807,655,974,163,87.9,92.9,91.8,64.4,87.9,92.9,91.8,64.4,87.9,92.9,91.8,64.4,87.9,92.9,91.8,64.4,33577,37,1.25,2,0.07,27,19,27,19,19,34,15,60,38,22,30,2349,313,1089,1092,178,40,3,100.0,0.0,1361,6408,0,27,15,5,1704,34,14,0,10,120,56,42,57.1,
Thomas Partey,gh GHA,Arsenal,31-331,32,28,2527.0,4,0.14,4,0.14,2,0.07,2,0.07,4,0,2.0,32,47,30.4,0.25,0.17,19.5,1525,798,619,85,1525,798,619,85,1525,798,619,85,1525,798,619,85,87.3,92.9,88.6,66.4,87.3,92.9,88.6,66.4,87.3,92.9,88.6,66.4,87.3,92.9,88.6,66.4,24370,58,2.07,13,0.46,80,44,80,44,49,72,28,25,7,18,33,1989,66,418,1098,485,28,33,66.7,27.3,1125,6034,3,37,22,16,1416,40,28,1,12,123,26,22,54.2,
Timothy Castagne,be BEL,Fulham,29-156,24,17,1649.0,0,0.0,0,0.0,1,0.05,1,0.05,1,0,0.4,17,67,37.5,0.16,0.00,14.0,780,397,328,37,780,397,328,37,780,397,328,37,780,397,328,37,81.8,89.8,85.9,49.3,81.8,89.8,85.9,49.3,81.8,89.8,85.9,49.3,81.8,89.8,85.9,49.3,12441,25,1.36,3,0.16,46,26,46,26,29,45,19,15,6,9,22,1164,92,449,462,259,32,12,41.7,41.7,547,2191,2,15,15,5,665,15,6,1,37,57,34,35,49.3,
Tomáš Souček,cz CZE,West Ham,30-072,32,27,2330.0,8,0.31,8,0.31,1,0.04,1,0.04,8,0,6.0,6,65,26.9,0.54,0.15,12.0,656,329,245,62,656,329,245,62,656,329,245,62,656,329,245,62,73.7,79.7,76.3,68.9,73.7,79.7,76.3,68.9,73.7,79.7,76.3,68.9,73.7,79.7,76.3,68.9,10935,43,1.66,3,0.12,42,22,42,22,19,39,17,35,17,18,18,1168,110,315,577,280,97,11,54.5,45.5,449,1361,3,10,17,13,696,44,24,4,13,57,95,68,58.3,
Tosin Adarabioyo,eng ENG,Chelsea,27-228,20,13,1229.0,1,0.07,1,0.07,1,0.07,1,0.07,3,0,0.9,5,1,16.7,0.15,0.08,12.5,988,374,554,58,988,374,554,58,988,374,554,58,988,374,554,58,91.4,95.7,94.9,61.1,91.4,95.7,94.9,61.1,91.4,95.7,94.9,61.1,91.4,95.7,94.9,61.1,18105,12,0.88,1,0.07,14,8,14,8,10,12,4,9,7,2,10,1198,160,570,603,26,13,5,80.0,0.0,713,2950,0,2,3,0,916,8,6,1,0,34,36,26,58.1,
Toti Gomes,pt POR,Wolves,26-114,28,27,2344.0,0,0.0,0,0.0,1,0.04,1,0.04,6,0,0.7,21,15,28.6,0.08,0.00,11.6,1272,577,593,75,1272,577,593,75,1272,577,593,75,1272,577,593,75,85.1,91.3,92.4,49.3,85.1,91.3,92.4,49.3,85.1,91.3,92.4,49.3,85.1,91.3,92.4,49.3,21197,20,0.77,1,0.04,53,30,53,30,38,37,7,28,17,11,23,1772,207,847,851,95,15,28,67.9,25.0,1028,4908,0,18,16,13,1202,23,14,4,13,100,48,24,66.7,
Trent Alexander-Arnold,eng ENG,Liverpool,26-215,31,28,2296.0,3,0.12,3,0.12,6,0.24,6,0.24,5,0,1.8,50,90,18.6,0.31,0.07,23.3,1397,612,572,189,1397,612,572,189,1397,612,572,189,1397,612,572,189,73.6,89.9,76.2,48.6,73.6,89.9,76.2,48.6,73.6,89.9,76.2,48.6,73.6,89.9,76.2,48.6,26692,94,3.68,10,0.39,70,48,70,48,49,103,55,26,9,17,30,2173,86,578,976,633,44,35,45.7,48.6,1139,5216,9,35,19,15,1384,11,8,1,145,129,3,13,18.8,
Trevoh Chalobah,eng ENG,Crystal Palace,25-309,12,12,1060.0,3,0.25,3,0.25,0,0.0,0,0.0,1,0,1.2,11,6,36.4,0.34,0.27,15.1,349,125,178,42,349,125,178,42,349,125,178,42,349,125,178,42,79.0,88.7,85.2,51.2,79.0,88.7,85.2,51.2,79.0,88.7,85.2,51.2,79.0,88.7,85.2,51.2,6831,11,0.93,0,0.0,20,12,20,12,16,23,11,19,9,10,19,594,66,275,276,51,14,10,60.0,20.0,278,1213,1,9,4,7,317,10,15,1,7,56,22,19,53.7,
Tyler Adams,us USA,Bournemouth,26-085,25,18,1710.0,0,0.0,0,0.0,3,0.16,3,0.16,7,0,1.6,12,9,25.0,0.11,0.00,16.1,757,368,329,29,757,368,329,29,757,368,329,29,757,368,329,29,83.6,88.7,88.0,54.7,83.6,88.7,88.0,54.7,83.6,88.7,88.0,54.7,83.6,88.7,88.0,54.7,11872,37,1.95,4,0.21,75,35,75,35,46,66,31,33,10,23,32,1151,53,308,661,194,17,16,18.8,56.3,554,2703,1,17,27,12,630,41,19,0,3,100,29,17,63.0,
Tyler Dibling,eng ENG,Southampton,19-059,31,18,1742.0,2,0.1,2,0.1,0,0.0,0,0.0,6,0,2.5,68,93,32.1,0.46,0.07,19.3,472,267,172,20,472,267,172,20,472,267,172,20,472,267,172,20,80.7,90.2,85.1,43.5,80.7,90.2,85.1,43.5,80.7,90.2,85.1,43.5,80.7,90.2,85.1,43.5,7050,56,2.89,4,0.21,34,16,34,16,20,26,10,19,5,14,8,823,25,110,372,360,41,104,42.3,36.5,533,4236,26,49,41,53,617,28,49,2,28,75,10,21,32.3,
Tyrick Mitchell,eng ENG,Crystal Palace,25-251,35,35,2942.0,0,0.0,0,0.0,4,0.12,4,0.12,2,0,1.2,56,166,18.2,0.06,0.00,13.4,929,484,367,57,929,484,367,57,929,484,367,57,929,484,367,57,72.3,84.5,75.1,42.2,72.3,84.5,75.1,42.2,72.3,84.5,75.1,42.2,72.3,84.5,75.1,42.2,14968,69,2.11,6,0.18,87,22,87,22,54,42,20,62,12,50,14,1656,108,573,637,459,42,33,39.4,48.5,766,3520,9,33,36,28,850,20,24,2,100,156,18,21,46.2,
Tyrone Mings,eng ENG,Aston Villa,32-058,13,11,1051.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0.8,6,0,11.1,0.09,0.00,11.8,581,227,315,34,581,227,315,34,581,227,315,34,581,227,315,34,88.6,92.7,94.3,54.0,88.6,92.7,94.3,54.0,88.6,92.7,94.3,54.0,88.6,92.7,94.3,54.0,10405,17,1.45,2,0.17,6,2,6,2,5,2,0,13,11,2,7,767,139,388,340,43,15,2,100.0,0.0,472,2597,0,12,3,1,523,3,9,0,1,33,26,21,55.3,
Valentino Livramento,eng ENG,Newcastle Utd,22-179,34,29,2570.0,0,0.0,0,0.0,1,0.04,1,0.04,1,0,0.2,73,98,20.0,0.04,0.00,20.6,1278,740,468,45,1278,740,468,45,1278,740,468,45,1278,740,468,45,85.0,90.6,86.3,57.0,85.0,90.6,86.3,57.0,85.0,90.6,86.3,57.0,85.0,90.6,86.3,57.0,18914,39,1.37,2,0.07,52,30,52,30,34,56,26,34,10,24,21,1796,108,572,822,427,33,48,43.8,41.7,935,5612,11,39,26,34,1041,6,34,2,45,173,23,31,42.6,
Victor Bernth Kristiansen,dk DEN,Leicester City,22-145,28,28,2380.0,0,0.0,0,0.0,1,0.04,1,0.04,1,0,0.3,39,75,0.0,0.0,0.00,17.7,1007,510,411,65,1007,510,411,65,1007,510,411,65,1007,510,411,65,77.6,89.6,80.1,41.4,77.6,89.6,80.1,41.4,77.6,89.6,80.1,41.4,77.6,89.6,80.1,41.4,16181,41,1.55,3,0.11,85,47,85,47,50,87,40,37,14,23,40,1581,113,564,711,319,15,17,47.1,47.1,800,3839,5,25,13,12,872,17,17,3,96,97,19,42,31.1,
Virgil van Dijk,nl NED,Liverpool,33-306,35,35,3150.0,3,0.09,3,0.09,1,0.03,1,0.03,4,0,2.2,18,6,29.6,0.23,0.11,13.1,2543,1042,1263,213,2543,1042,1263,213,2543,1042,1263,213,2543,1042,1263,213,91.6,96.1,95.5,67.2,91.6,96.1,95.5,67.2,91.6,96.1,95.5,67.2,91.6,96.1,95.5,67.2,46352,47,1.34,4,0.11,35,11,35,11,17,20,9,25,14,11,54,3125,425,1257,1719,159,48,5,60.0,40.0,1746,8293,3,22,9,5,2153,16,12,0,1,110,111,46,70.7,
Vitaliy Mykolenko,ua UKR,Everton,25-346,32,32,2812.0,0,0.0,0,0.0,1,0.03,1,0.03,3,0,0.4,31,90,0.0,0.0,0.00,20.5,908,467,342,80,908,467,342,80,908,467,342,80,908,467,342,80,74.4,89.0,74.2,44.7,74.4,89.0,74.2,44.7,74.4,89.0,74.2,44.7,74.4,89.0,74.2,44.7,15184,38,1.22,3,0.1,55,26,55,26,33,51,25,24,9,15,37,1541,115,480,656,416,30,20,40.0,45.0,636,2617,1,27,21,10,783,20,28,3,91,79,46,36,56.1,
Vitaly Janelt,de GER,Brentford,27-000,32,27,2254.0,1,0.04,1,0.04,3,0.12,3,0.12,3,0,0.8,17,38,28.6,0.16,0.07,17.7,872,443,344,66,872,443,344,66,872,443,344,66,872,443,344,66,82.5,90.6,85.4,55.9,82.5,90.6,85.4,55.9,82.5,90.6,85.4,55.9,82.5,90.6,85.4,55.9,14466,32,1.28,3,0.12,38,21,38,21,22,36,15,33,9,24,27,1289,118,418,574,306,32,12,25.0,58.3,652,3011,3,18,16,10,814,24,15,1,30,107,19,11,63.3,
Wes Burns,wls WAL,Ipswich Town,30-168,18,12,926.0,0,0.0,0,0.0,1,0.1,1,0.1,1,0,0.5,38,65,14.3,0.1,0.00,18.3,153,82,51,14,153,82,51,14,153,82,51,14,153,82,51,14,60.5,80.4,65.4,38.9,60.5,80.4,65.4,38.9,60.5,80.4,65.4,38.9,60.5,80.4,65.4,38.9,2416,16,1.55,1,0.1,13,4,13,4,11,10,6,7,2,5,10,350,21,69,129,160,18,24,37.5,58.3,216,1458,10,13,17,13,220,4,11,0,46,50,8,21,27.6,
Wesley Fofana,fr FRA,Chelsea,24-144,14,14,1172.0,0,0.0,0,0.0,0,0.0,0,0.0,7,0,0.4,19,4,0.0,0.0,0.00,10.6,724,306,385,26,724,306,385,26,724,306,385,26,724,306,385,26,90.2,93.9,92.5,61.9,90.2,93.9,92.5,61.9,90.2,93.9,92.5,61.9,90.2,93.9,92.5,61.9,12262,15,1.15,0,0.0,13,6,13,6,12,14,8,14,9,5,14,933,81,370,523,55,10,15,53.3,20.0,557,3149,1,12,16,5,665,24,16,0,1,54,27,12,69.2,
Wilfred Ndidi,ng NGA,Leicester City,28-145,26,26,2147.0,0,0.0,0,0.0,4,0.17,4,0.17,8,0,2.0,17,75,36.4,0.34,0.00,13.9,775,423,262,36,775,423,262,36,775,423,262,36,775,423,262,36,80.3,87.0,82.1,54.5,80.3,87.0,82.1,54.5,80.3,87.0,82.1,54.5,80.3,87.0,82.1,54.5,11104,27,1.13,3,0.13,81,27,81,27,50,54,27,47,19,28,26,1298,113,430,634,246,60,32,40.6,53.1,628,2576,2,23,34,33,772,39,17,3,30,121,55,55,50.0,
Will Hughes,eng ENG,Crystal Palace,30-023,30,21,1899.0,0,0.0,0,0.0,3,0.14,3,0.14,11,0,1.0,19,24,5.0,0.05,0.00,22.5,672,342,264,44,672,342,264,44,672,342,264,44,672,342,264,44,75.8,88.8,82.5,35.8,75.8,88.8,82.5,35.8,75.8,88.8,82.5,35.8,75.8,88.8,82.5,35.8,10702,61,2.89,6,0.28,61,27,61,27,33,59,32,30,14,16,19,1096,42,259,562,287,15,14,28.6,42.9,478,2454,1,22,20,24,606,60,30,0,68,110,17,17,50.0,
William Saliba,fr FRA,Arsenal,24-047,33,33,2904.0,2,0.06,2,0.06,0,0.0,0,0.0,2,1,2.3,16,6,33.3,0.06,0.33,5.4,2320,978,1214,119,2320,978,1214,119,2320,978,1214,119,2320,978,1214,119,94.2,95.7,96.0,79.9,94.2,95.7,96.0,79.9,94.2,95.7,96.0,79.9,94.2,95.7,96.0,79.9,39927,26,0.81,1,0.03,60,21,60,21,36,27,6,24,15,9,21,2717,178,1072,1519,141,18,19,63.2,31.6,1675,7362,1,17,18,7,2056,28,17,1,3,146,58,35,62.4,
Wout Faes,be BEL,Leicester City,27-037,31,27,2545.0,1,0.04,1,0.04,0,0.0,0,0.0,4,0,1.4,12,1,9.1,0.04,0.09,10.0,1252,481,666,102,1252,481,666,102,1252,481,666,102,1252,481,666,102,87.7,93.8,95.0,53.7,87.7,93.8,95.0,53.7,87.7,93.8,95.0,53.7,87.7,93.8,95.0,53.7,23226,17,0.6,0,0.0,39,23,39,23,23,43,20,45,33,12,26,1735,277,852,824,67,26,6,83.3,16.7,1011,4630,2,13,16,6,1154,21,10,1,5,87,41,34,54.7,
