Player,Nation,Team,Age,Matches Played,Starts,Minutes,Goals,Goals.1,Goals.2,Goals.3,Assists,Assists.1,Assists.2,Assists.3,Yellow Cards,Red Cards,xG,PrgC,PrgR,SoT%,SoT/90,G/Sh,Dist,Passes Completed,Passes Completed.1,Passes Completed.2,Passes Completed.3,Passes Completed.4,Passes Completed.5,Passes Completed.6,Passes Completed.7,Passes Completed.8,Passes Completed.9,Passes Completed.10,Passes Completed.11,Passes Completed.12,Passes Completed.13,Passes Completed.14,Passes Completed.15,Cmp%,Cmp%.1,Cmp%.2,Cmp%.3,Cmp%.4,Cmp%.5,Cmp%.6,Cmp%.7,Cmp%.8,Cmp%.9,Cmp%.10,Cmp%.11,Cmp%.12,Cmp%.13,Cmp%.14,Cmp%.15,Pass Distance,SCA,SCA90,GCA,GCA90,Tackles,Tackles.1,Tackles.2,Tackles.3,Tackles Won,Challenges,Challenges Lost,Blocks,Shot Blocks,Pass Blocks,Interceptions,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Take-ons Attempted,Take-ons Success%,Tkld%,Carries,Carry Distance,Carry to Pen Area,Carry to 1/3,Miscontrols,Dispossessed,Passes Received,Fouls Committed,Fouled,Offsides,Crosses,Recoveries,Aerials Won,Aerials Lost,Aerial Win%,TransferValue
Mohammed Kudus,gh GHA,West Ham,24-281,29,29,2421.0,4,0.15,4,0.15,2,0.07,2,0.07,2,1,6.6,93,201,29.4,0.74,0.06,15.7,659,351,238,53,659,351,238,53,659,351,238,53,659,351,238,53,83.5,90.2,89.1,67.9,83.5,90.2,89.1,67.9,83.5,90.2,89.1,67.9,83.5,90.2,89.1,67.9,10770,101,3.76,7,0.26,35,10,35,10,21,27,17,24,1,23,4,1176,12,159,486,572,117,194,44.8,45.9,770,5072,39,56,70,89,916,36,60,18,74,128,10,38,20.8,
Moisés Caicedo,ec ECU,Chelsea,23-189,35,35,3081.0,1,0.03,1,0.03,2,0.06,2,0.06,10,0,0.8,38,33,16.7,0.09,0.06,25.1,1827,821,818,153,1827,821,818,153,1827,821,818,153,1827,821,818,153,89.7,92.2,92.4,78.1,89.7,92.2,92.4,78.1,89.7,92.2,92.4,78.1,89.7,92.2,92.4,78.1,31575,94,2.75,9,0.26,103,50,103,50,64,80,30,45,10,35,49,2394,89,521,1469,430,15,57,42.1,35.1,1323,6307,2,29,36,24,1666,62,55,0,9,203,33,15,68.8,
Morgan Rogers,eng ENG,Aston Villa,22-288,34,34,2853.0,8,0.25,8,0.25,8,0.25,8,0.25,9,0,6.2,108,177,35.8,0.6,0.15,15.9,628,355,189,47,628,355,189,47,628,355,189,47,628,355,189,47,73.9,81.4,76.2,79.7,73.9,81.4,76.2,79.7,73.9,81.4,76.2,79.7,73.9,81.4,76.2,79.7,9245,101,3.19,14,0.44,36,19,36,19,18,39,20,25,7,18,5,1269,36,185,557,553,135,153,42.5,44.4,744,5277,33,64,104,68,897,46,48,2,22,108,11,43,20.4,
Morgan Gibbs-White,eng ENG,Nott'ham Forest,25-103,31,31,2541.0,5,0.18,5,0.18,7,0.25,7,0.25,11,1,4.7,64,118,34.0,0.64,0.09,17.0,897,493,300,63,897,493,300,63,897,493,300,63,897,493,300,63,78.0,85.0,81.5,57.3,78.0,85.0,81.5,57.3,78.0,85.0,81.5,57.3,78.0,85.0,81.5,57.3,13817,104,3.68,17,0.6,40,15,40,15,19,30,15,16,4,12,20,1484,34,175,752,581,86,75,40.0,45.3,829,4716,12,47,66,39,1109,34,37,7,39,118,39,48,44.8,
Murillo,br BRA,Nott'ham Forest,22-310,34,34,3008.0,2,0.06,2,0.06,0,0.0,0,0.0,5,0,1.4,20,5,25.0,0.18,0.08,22.2,1056,395,490,149,1056,395,490,149,1056,395,490,149,1056,395,490,149,78.2,90.0,87.8,48.9,78.2,90.0,87.8,48.9,78.2,90.0,87.8,48.9,78.2,90.0,87.8,48.9,20985,40,1.2,2,0.06,53,27,53,27,36,46,19,67,44,23,32,1792,400,921,789,96,21,33,78.8,21.2,760,3849,1,24,18,10,912,25,4,0,12,134,43,21,67.2,
Myles Lewis-Skelly,eng ENG,Arsenal,18-226,20,13,1168.0,1,0.08,1,0.08,0,0.0,0,0.0,2,2,0.1,32,33,50.0,0.08,0.50,14.3,604,340,242,13,604,340,242,13,604,340,242,13,604,340,242,13,90.7,95.8,90.3,65.0,90.7,95.8,90.3,65.0,90.7,95.8,90.3,65.0,90.7,95.8,90.3,65.0,8962,24,1.85,0,0.0,22,10,22,10,14,10,0,2,1,1,6,775,20,138,426,225,14,26,46.2,34.6,443,2336,5,23,11,8,529,10,38,0,8,45,8,10,44.4,
Nathan Collins,ie IRL,Brentford,24-010,35,35,3150.0,2,0.06,2,0.06,3,0.09,3,0.09,5,0,2.5,28,18,35.3,0.17,0.12,10.7,1572,524,907,128,1572,524,907,128,1572,524,907,128,1572,524,907,128,85.7,87.8,92.5,59.3,85.7,87.8,92.5,59.3,85.7,87.8,92.5,59.3,85.7,87.8,92.5,59.3,30030,30,0.86,8,0.23,37,22,37,22,22,34,12,71,51,20,32,2257,360,1179,924,164,66,12,50.0,41.7,1176,6385,0,12,19,8,1365,24,28,6,7,149,112,60,65.1,
Neco Williams,wls WAL,Nott'ham Forest,24-027,32,25,2324.0,1,0.04,1,0.04,3,0.12,3,0.12,7,0,2.3,60,86,18.9,0.27,0.03,20.2,751,434,251,37,751,434,251,37,751,434,251,37,751,434,251,37,76.1,90.6,72.3,38.9,76.1,90.6,72.3,38.9,76.1,90.6,72.3,38.9,76.1,90.6,72.3,38.9,11289,46,1.78,6,0.23,75,45,75,45,45,73,28,40,9,31,25,1393,143,504,506,401,38,44,40.9,40.9,569,3512,15,28,29,17,654,23,39,1,46,96,36,29,55.4,
Nick Pope,eng ENG,Newcastle Utd,33-021,25,25,2250.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0,0.0,0,0,N/a,0.0,N/a,N/a,504,104,260,136,504,104,260,136,504,104,260,136,504,104,260,136,72.8,99.0,98.5,42.8,72.8,99.0,98.5,42.8,72.8,99.0,98.5,42.8,72.8,99.0,98.5,42.8,12978,6,0.24,0,0.0,0,0,0,0,0,0,0,1,0,1,1,773,612,762,11,0,0,0,N/a,N/a,397,2227,0,0,0,1,273,2,5,0,0,21,11,1,91.7,
Nicolas Jackson,sn SEN,Chelsea,23-324,29,27,2185.0,10,0.41,10,0.41,5,0.21,5,0.21,7,0,12.3,46,127,44.7,1.4,0.13,12.9,300,182,89,9,300,182,89,9,300,182,89,9,300,182,89,9,75.9,81.6,77.4,64.3,75.9,81.6,77.4,64.3,75.9,81.6,77.4,64.3,75.9,81.6,77.4,64.3,4031,68,2.8,10,0.41,22,5,22,5,13,10,5,14,2,12,3,679,19,50,281,357,139,60,30.0,51.7,413,2468,30,25,69,41,507,33,29,23,3,48,19,36,34.5,
